"model_name","spatial_component","temporal_component","complexity_score","dic","waic","marginal_likelihood","mean_cpo","failure_rate","runtime","fit_success","model_type","waic_rank","dic_rank","waic_per_complexity","waic_improvement","relative_improvement","parsimony_score"
"adjacency_ar1","adjacency","ar1",3,11003.6408609319,11014.3603079321,-5620.72487141105,0.513373850625365,0.00089126559714795,10.8603761196136,TRUE,"separable",1,1,3671.45343597736,1565.1772296911,12.4422477774714,11044.3603079321
"exponential_ar1","exponential","ar1",3,11003.6970826525,11014.4011998902,-5591.55080301938,0.513131829674355,0.00089126559714795,10.9803569316864,TRUE,"separable",2,2,3671.46706663007,1565.13633773296,12.4419227102103,11044.4011998902
"gaussian_ar1","gaussian","ar1",3,11003.817123136,11014.5034274376,-5602.37064801506,0.513098351621561,0.00089126559714795,10.7039790153503,TRUE,"separable",3,3,3671.50114247921,1565.03411018556,12.4411100607221,11044.5034274376
"adjacency_rw1","adjacency","rw1",3,11006.7560683856,11016.2426491144,-5619.61329943161,0.513639781126399,0.00106951871657754,9.6458010673523,TRUE,"separable",4,4,3672.08088303812,1563.29488850882,12.427284260914,11046.2426491144
"exponential_rw1","exponential","rw1",3,11006.7710119946,11016.2441228021,-5590.44107454265,0.513395427831826,0.00106951871657754,9.69503688812256,TRUE,"separable",5,5,3672.08137426737,1563.29341482108,12.4272725459544,11046.2441228021
"gaussian_rw1","gaussian","rw1",3,11006.8482699096,11016.3149491538,-5601.26322782776,0.513367115985714,0.00106951871657754,9.70058989524841,TRUE,"separable",6,6,3672.10498305125,1563.22258846942,12.4267095176917,11046.3149491538
"independent_ar1","independent","ar1",3,11013.4271675611,11023.1148083894,-5607.65365382994,0.512600594273117,0.00071301247771836,10.5392799377441,TRUE,"separable",7,7,3674.37160279646,1556.42272923379,12.3726545954397,11053.1148083894
"independent_rw1","independent","rw1",3,11016.7048887678,11025.1142771407,-5606.54832916034,0.512765974563316,0.00106951871657754,9.44180202484131,TRUE,"separable",8,8,3675.03809238025,1554.42326048245,12.3567599828964,11055.1142771407
"adjacency_rw2","adjacency","rw2",4,11048.3075009489,11053.273334622,-5631.30038840301,0.51304230328307,0.00124777183600713,9.26970314979553,TRUE,"separable",9,9,2763.3183336555,1526.26420300119,12.1329118692671,11093.273334622
"exponential_rw2","exponential","rw2",4,11048.3500045316,11053.3103140305,-5602.13167493343,0.512802178676423,0.00124777183600713,9.32808899879456,TRUE,"separable",10,10,2763.32757850763,1526.22722359268,12.1326179044977,11093.3103140305
"gaussian_rw2","gaussian","rw2",4,11048.4503644001,11053.4012455989,-5612.95346327569,0.512771755222925,0.00124777183600713,9.40855193138123,TRUE,"separable",11,11,2763.35031139974,1526.13629202423,12.1318950514662,11093.4012455989
"independent_rw2","independent","rw2",4,11058.0058694939,11061.9920273946,-5618.24665457714,0.51225513444533,0.00124777183600713,8.97358894348145,TRUE,"separable",12,12,2765.49800684864,1517.54551022863,12.0636033374829,11101.9920273946
"adjacency_yearly","adjacency","yearly",2,11077.3345532503,11081.4436560645,-5642.73489472262,0.512534752542675,0.00142602495543672,9.88515901565552,TRUE,"separable",13,13,5540.72182803223,1498.09388155872,11.9089742137037,11101.4436560645
"exponential_yearly","exponential","yearly",2,11077.4031403752,11081.5068691147,-5613.58139106644,0.512291476480478,0.00142602495543672,9.81460404396057,TRUE,"separable",14,14,5540.75343455734,1498.0306685085,11.9084717067551,11101.5068691147
"gaussian_yearly","gaussian","yearly",2,11077.511130157,11081.6041847301,-5624.4001176815,0.512261087301012,0.00142602495543672,9.81064486503601,TRUE,"separable",15,15,5540.80209236504,1497.93335289309,11.9076981042669,11101.6041847301
"independent_yearly","independent","yearly",2,11087.0840983606,11090.1978374846,-5629.67906405345,0.511754016032516,0.00124777183600713,9.61629700660706,TRUE,"separable",16,16,5545.09891874232,1489.33970013853,11.8393835678313,11110.1978374846
"adjacency_quadratic","adjacency","quadratic",3,11102.9506280538,11105.9472343945,-5663.03164710039,0.51194103447731,0.00142602495543672,10.7797408103943,TRUE,"separable",17,17,3701.98241146484,1473.59030322866,11.7141850312177,11135.9472343945
"exponential_quadratic","exponential","quadratic",3,11103.0178112085,11106.0080142511,-5633.87529637693,0.51169710636268,0.00142602495543672,10.7222290039062,TRUE,"separable",18,18,3702.00267141705,1473.52952337204,11.7137018667417,11136.0080142511
"gaussian_quadratic","gaussian","quadratic",3,11103.122352737,11106.1026842208,-5644.69437368608,0.511667400651982,0.00142602495543672,10.8534250259399,TRUE,"separable",19,19,3702.0342280736,1473.43485340238,11.7129492955969,11136.1026842208
"independent_quadratic","independent","quadratic",3,11112.5064090165,11114.5313665132,-5650.00714316175,0.511227301139074,0.00142602495543672,10.7291579246521,TRUE,"separable",20,20,3704.84378883772,1465.00617111001,11.645946178295,11144.5313665132
"adjacency_linear","adjacency","linear",2,11219.8191583216,11223.3925858264,-5708.07405077391,0.510134637470103,0.0017825311942959,10.9738929271698,TRUE,"separable",21,21,5611.69629291318,1356.14495179682,10.7805628604456,11243.3925858264
"exponential_linear","exponential","linear",2,11219.9227566515,11223.485116852,-5678.95097973636,0.509891162066994,0.00160427807486631,10.9581959247589,TRUE,"separable",22,22,5611.742558426,1356.05242077118,10.7798272926605,11243.485116852
"gaussian_linear","gaussian","linear",2,11220.0204556786,11223.5728455506,-5689.76387062751,0.509861851175723,0.00160427807486631,11.1916580200195,TRUE,"separable",23,23,5611.78642277532,1355.96469207254,10.7791299005793,11243.5728455506
"adjacency_monthly","adjacency","monthly",3,11220.7344555117,11224.3708933319,-5699.48196827808,0.5102955281291,0.00160427807486631,9.43977808952332,TRUE,"separable",24,24,3741.45696444397,1355.16664429127,10.7727858853174,11254.3708933319
"exponential_monthly","exponential","monthly",3,11220.8265340891,11224.4653417187,-5670.35172594113,0.510057192904945,0.00142602495543672,9.5237820148468,TRUE,"separable",25,25,3741.48844723956,1355.0721959045,10.7720350756275,11254.4653417187
"gaussian_monthly","gaussian","monthly",3,11220.9266796799,11224.5574783244,-5681.15879773827,0.510030042467362,0.00142602495543672,9.56698489189148,TRUE,"separable",26,26,3741.51915944147,1354.98005929879,10.7713026432512,11254.5574783244
"adjacency_none","adjacency","none",1,11221.2555585986,11224.7400127742,-5698.8135976223,0.51032034161918,0.00160427807486631,11.0336139202118,TRUE,"single_component",27,27,11224.7400127742,1354.79752484902,10.7698516006416,11234.7400127742
"exponential_none","exponential","none",1,11221.3441348784,11224.8160853419,-5669.69100422683,0.510076003520563,0.00142602495543672,11.0162060260773,TRUE,"single_component",28,28,11224.8160853419,1354.72145228131,10.7692468680154,11234.8160853419
"gaussian_none","gaussian","none",1,11221.4389798529,11224.9024424915,-5680.50348649774,0.510048615654737,0.00142602495543672,11.0811541080475,TRUE,"single_component",29,29,11224.9024424915,1354.63509513173,10.7685603789507,11234.9024424915
"adjacency_cyclic","adjacency","cyclic",3,11222.8214489973,11227.055179209,-5712.4241310927,0.510305668642262,0.00142602495543672,10.9354560375214,TRUE,"separable",30,30,3742.351726403,1352.48235841417,10.751447375304,11257.055179209
"exponential_cyclic","exponential","cyclic",3,11222.9097690409,11227.1295053809,-5683.30093863324,0.510060027181795,0.00142602495543672,10.9514129161835,TRUE,"separable",31,31,3742.37650179363,1352.40803224231,10.7508565255081,11257.1295053809
"gaussian_cyclic","gaussian","cyclic",3,11223.0047946367,11227.2159888938,-5694.11350621122,0.510032619243276,0.00142602495543672,10.7901721000671,TRUE,"separable",32,32,3742.40532963126,1352.32154872941,10.7501690319287,11257.2159888938
"independent_linear","independent","linear",2,11229.2874648403,11231.9524410469,-5695.01628190596,0.509504946940257,0.0017825311942959,10.9816839694977,TRUE,"separable",33,33,5615.97622052343,1347.58509657633,10.7125169947301,11251.9524410469
"independent_monthly","independent","monthly",3,11230.408172508,11233.0947591279,-5686.40828648019,0.509538274117938,0.00142602495543672,8.98301410675049,TRUE,"separable",34,34,3744.3649197093,1346.44277849527,10.7034362310085,11263.0947591279
"independent_none","independent","none",1,11230.9384406945,11233.4609471233,-5685.74661908733,0.509560952120092,0.00160427807486631,10.8192648887634,TRUE,"single_component",35,35,11233.4609471233,1346.07659049989,10.7005252496287,11243.4609471233
"independent_cyclic","independent","cyclic",3,11232.5207513372,11235.7827126404,-5699.35680933427,0.50953968428517,0.00160427807486631,10.0439779758453,TRUE,"separable",36,36,3745.26090421345,1343.75482498282,10.6820685654292,11265.7827126404
"none_rw1","none","rw1",2,12396.0584178355,12417.8862439016,-6226.28988536598,0.455492810058091,0.0053475935828877,10.7733309268951,TRUE,"single_component",37,38,6208.94312195081,161.651293721563,1.2850336766204,12437.8862439016
"none_ar1","none","ar1",2,12394.0381996895,12421.9001656908,-6227.94966507187,0.455296353954139,0.00499108734402852,9.29370808601379,TRUE,"single_component",38,37,6210.95008284541,157.637371932356,1.25312533517938,12441.9001656908
"none_rw2","none","rw2",3,12424.9063890813,12432.3549227876,-6235.1345475757,0.455201432595309,0.00516934046345811,10.7962608337402,TRUE,"single_component",39,39,4144.11830759588,147.182614835543,1.17001610270128,12462.3549227876
"none_yearly","none","yearly",1,12446.8686384577,12452.3189479001,-6243.13396281491,0.454848491195426,0.0053475935828877,10.9583239555359,TRUE,"single_component",40,40,12452.3189479001,127.218589723094,1.01131372550545,12462.3189479001
"none_quadratic","none","quadratic",2,12471.7196096655,12473.491322066,-6263.45130877206,0.454401190894584,0.00570409982174688,8.22883081436157,TRUE,"single_component",41,41,6236.745661033,106.046215557188,0.843005676798707,12493.491322066
"none_linear","none","linear",1,12573.0048931213,12574.3462451079,-6300.87624396862,0.45292423823462,0.00588235294117647,8.09584593772888,TRUE,"single_component",42,42,12574.3462451079,5.19129251529739,0.041267753284023,12584.3462451079
"none_monthly","none","monthly",2,12574.6402890312,12576.2124407939,-6292.65710822722,0.452841690583519,0.00588235294117647,10.9899702072144,TRUE,"single_component",43,43,6288.10622039695,3.32509682927412,0.0264325840224995,12596.2124407939
"none_cyclic","none","cyclic",2,12576.9975414362,12579.5375376232,-6305.54162852099,0.452842542772164,0.00588235294117647,8.23167991638184,TRUE,"single_component",44,44,6289.76876881159,0,0,12599.5375376232
