"model_name","model_type","complexity_score","dic","waic","marginal_likelihood","mean_cpo","failure_rate","runtime_seconds","fit_success","waic_rank","improvement_over_best_separable","within_3_waic","complexity"
"adjacency_ar1_period","interaction",8,10925.8444456807,10935.2779975576,-5676.16701404725,0.514160710704761,0.00071301247771836,12.6068830490112,TRUE,1,79.0823103745133,TRUE,8
"exponential_ar1_period","interaction",8,10927.6959260364,10937.1373627057,-5591.42465388873,0.513910745341275,0.00071301247771836,13.0469000339508,TRUE,2,77.2229452263527,TRUE,8
"adjacency_ar1_seasonal_interaction","interaction",6,10965.6368678476,10975.3959118189,-5618.63365354668,0.51212919333654,0.00053475935828877,16.4103329181671,TRUE,3,38.9643961131387,FALSE,6
"exponential_ar1_interaction","interaction",5,10964.9055889766,10975.4574306726,-5588.5958552254,0.511869462277644,0.00053475935828877,13.2167708873749,TRUE,4,38.9028772594811,FALSE,5
"adjacency_ar1_interaction","interaction",5,10964.8646132604,10975.5233196622,-5617.76536255542,0.512123947033503,0.00053475935828877,12.7760238647461,TRUE,5,38.8369882698607,FALSE,5
"gaussian_ar1_interaction","interaction",5,10967.9538016843,10975.6143779311,-5599.41636904989,0.511843689959247,0.00053475935828877,13.225026845932,TRUE,6,38.7459300009286,FALSE,5
"adjacency_rw1_interaction","interaction",5,10967.1854784641,10975.6250805253,-5615.77420053915,0.512858756772025,0.00053475935828877,12.2586061954498,TRUE,7,38.7352274067889,FALSE,5
"adjacency_rw2_interaction","interaction",6,10986.3062959274,10994.6428033111,-5622.54431628752,0.512330463332966,0.00053475935828877,12.5082771778107,TRUE,8,19.717504620945,FALSE,6
"adjacency_timevarying","interaction",6,10991.7973029303,11001.8902528822,-8984.09108996532,0.512740098016616,0.00071301247771836,761.950251817703,TRUE,9,12.4700550498492,FALSE,6
"exponential_timevarying","interaction",6,10992.9436032384,11002.2183627492,-6147.43497408139,0.512475508387521,0.00071301247771836,664.733282089233,TRUE,10,12.141945182897,FALSE,6
"adjacency_ar1","separable",3,11003.6408609319,11014.3603079321,-5620.72487141105,0.513373850625365,0.00089126559714795,10.8603761196136,TRUE,11,0,FALSE,3
"exponential_ar1","separable",3,11003.6970826525,11014.4011998902,-5591.55080301938,0.513131829674355,0.00089126559714795,10.9803569316864,TRUE,12,-0.0408919581404916,FALSE,3
"gaussian_ar1","separable",3,11003.817123136,11014.5034274376,-5602.37064801506,0.513098351621561,0.00089126559714795,10.7039790153503,TRUE,13,-0.143119505548384,FALSE,3
"adjacency_rw1","separable",3,11006.7560683856,11016.2426491144,-5619.61329943161,0.513639781126399,0.00106951871657754,9.6458010673523,TRUE,14,-1.88234118228684,FALSE,3
"exponential_rw1","separable",3,11006.7710119946,11016.2441228021,-5590.44107454265,0.513395427831826,0.00106951871657754,9.69503688812256,TRUE,15,-1.88381487002516,FALSE,3
"gaussian_rw1","separable",3,11006.8482699096,11016.3149491538,-5601.26322782776,0.513367115985714,0.00106951871657754,9.70058989524841,TRUE,16,-1.95464122168414,FALSE,3
"adjacency_seasonal","interaction",5,11005.573282706,11017.8232955503,-5727.15346384203,0.513135847149026,0.00089126559714795,11.5855479240417,TRUE,17,-3.46298761822254,FALSE,5
"exponential_seasonal","interaction",5,11005.701620379,11017.8739569479,-5614.61949304695,0.512863342539491,0.00089126559714795,11.7252459526062,TRUE,18,-3.51364901580746,FALSE,5
"independent_ar1","separable",3,11013.4271675611,11023.1148083894,-5607.65365382994,0.512600594273117,0.00071301247771836,10.5392799377441,TRUE,19,-8.7545004573094,FALSE,3
"independent_rw1","separable",3,11016.7048887678,11025.1142771407,-5606.54832916034,0.512765974563316,0.00106951871657754,9.44180202484131,TRUE,20,-10.7539692086575,FALSE,3
"adjacency_rw2","separable",4,11048.3075009489,11053.273334622,-5631.30038840301,0.51304230328307,0.00124777183600713,9.26970314979553,TRUE,21,-38.9130266899101,FALSE,4
"exponential_rw2","separable",4,11048.3500045316,11053.3103140305,-5602.13167493343,0.512802178676423,0.00124777183600713,9.32808899879456,TRUE,22,-38.9500060984228,FALSE,4
"gaussian_rw2","separable",4,11048.4503644001,11053.4012455989,-5612.95346327569,0.512771755222925,0.00124777183600713,9.40855193138123,TRUE,23,-39.0409376668704,FALSE,4
"independent_rw2","separable",4,11058.0058694939,11061.9920273946,-5618.24665457714,0.51225513444533,0.00124777183600713,8.97358894348145,TRUE,24,-47.6317194624771,FALSE,4
"adjacency_yearly","separable",2,11077.3345532503,11081.4436560645,-5642.73489472262,0.512534752542675,0.00142602495543672,9.88515901565552,TRUE,25,-67.0833481323843,FALSE,2
"exponential_yearly","separable",2,11077.4031403752,11081.5068691147,-5613.58139106644,0.512291476480478,0.00142602495543672,9.81460404396057,TRUE,26,-67.1465611826043,FALSE,2
"gaussian_yearly","separable",2,11077.511130157,11081.6041847301,-5624.4001176815,0.512261087301012,0.00142602495543672,9.81064486503601,TRUE,27,-67.2438767980093,FALSE,2
"independent_yearly","separable",2,11087.0840983606,11090.1978374846,-5629.67906405345,0.511754016032516,0.00124777183600713,9.61629700660706,TRUE,28,-75.8375295525693,FALSE,2
"adjacency_quadratic","separable",3,11102.9506280538,11105.9472343945,-5663.03164710039,0.51194103447731,0.00142602495543672,10.7797408103943,TRUE,29,-91.5869264624398,FALSE,3
"exponential_quadratic","separable",3,11103.0178112085,11106.0080142511,-5633.87529637693,0.51169710636268,0.00142602495543672,10.7222290039062,TRUE,30,-91.6477063190632,FALSE,3
"gaussian_quadratic","separable",3,11103.122352737,11106.1026842208,-5644.69437368608,0.511667400651982,0.00142602495543672,10.8534250259399,TRUE,31,-91.7423762887192,FALSE,3
"independent_quadratic","separable",3,11112.5064090165,11114.5313665132,-5650.00714316175,0.511227301139074,0.00142602495543672,10.7291579246521,TRUE,32,-100.171058581094,FALSE,3
"adjacency_linear","separable",2,11219.8191583216,11223.3925858264,-5708.07405077391,0.510134637470103,0.0017825311942959,10.9738929271698,TRUE,33,-209.032277894285,FALSE,2
"exponential_linear","separable",2,11219.9227566515,11223.485116852,-5678.95097973636,0.509891162066994,0.00160427807486631,10.9581959247589,TRUE,34,-209.124808919925,FALSE,2
"gaussian_linear","separable",2,11220.0204556786,11223.5728455506,-5689.76387062751,0.509861851175723,0.00160427807486631,11.1916580200195,TRUE,35,-209.212537618561,FALSE,2
"adjacency_monthly","separable",3,11220.7344555117,11224.3708933319,-5699.48196827808,0.5102955281291,0.00160427807486631,9.43977808952332,TRUE,36,-210.01058539983,FALSE,3
"exponential_monthly","separable",3,11220.8265340891,11224.4653417187,-5670.35172594113,0.510057192904945,0.00142602495543672,9.5237820148468,TRUE,37,-210.105033786602,FALSE,3
"gaussian_monthly","separable",3,11220.9266796799,11224.5574783244,-5681.15879773827,0.510030042467362,0.00142602495543672,9.56698489189148,TRUE,38,-210.197170392317,FALSE,3
"adjacency_none","single_component",1,11221.2555585986,11224.7400127742,-5698.8135976223,0.51032034161918,0.00160427807486631,11.0336139202118,TRUE,39,-210.37970484208,FALSE,1
"exponential_none","single_component",1,11221.3441348784,11224.8160853419,-5669.69100422683,0.510076003520563,0.00142602495543672,11.0162060260773,TRUE,40,-210.455777409794,FALSE,1
"gaussian_none","single_component",1,11221.4389798529,11224.9024424915,-5680.50348649774,0.510048615654737,0.00142602495543672,11.0811541080475,TRUE,41,-210.542134559379,FALSE,1
"adjacency_cyclic","separable",3,11222.8214489973,11227.055179209,-5712.4241310927,0.510305668642262,0.00142602495543672,10.9354560375214,TRUE,42,-212.694871276934,FALSE,3
"exponential_cyclic","separable",3,11222.9097690409,11227.1295053809,-5683.30093863324,0.510060027181795,0.00142602495543672,10.9514129161835,TRUE,43,-212.769197448797,FALSE,3
"gaussian_cyclic","separable",3,11223.0047946367,11227.2159888938,-5694.11350621122,0.510032619243276,0.00142602495543672,10.7901721000671,TRUE,44,-212.855680961695,FALSE,3
"independent_linear","separable",2,11229.2874648403,11231.9524410469,-5695.01628190596,0.509504946940257,0.0017825311942959,10.9816839694977,TRUE,45,-217.592133114773,FALSE,2
"independent_monthly","separable",3,11230.408172508,11233.0947591279,-5686.40828648019,0.509538274117938,0.00142602495543672,8.98301410675049,TRUE,46,-218.734451195829,FALSE,3
"independent_none","single_component",1,11230.9384406945,11233.4609471233,-5685.74661908733,0.509560952120092,0.00160427807486631,10.8192648887634,TRUE,47,-219.100639191211,FALSE,1
"independent_cyclic","separable",3,11232.5207513372,11235.7827126404,-5699.35680933427,0.50953968428517,0.00160427807486631,10.0439779758453,TRUE,48,-221.422404708286,FALSE,3
"none_rw1","single_component",2,12396.0584178355,12417.8862439016,-6226.28988536598,0.455492810058091,0.0053475935828877,10.7733309268951,TRUE,49,-1403.52593596954,FALSE,2
"none_ar1","single_component",2,12394.0381996895,12421.9001656908,-6227.94966507187,0.455296353954139,0.00499108734402852,9.29370808601379,TRUE,50,-1407.53985775875,FALSE,2
"none_rw2","single_component",3,12424.9063890813,12432.3549227876,-6235.1345475757,0.455201432595309,0.00516934046345811,10.7962608337402,TRUE,51,-1417.99461485556,FALSE,3
"none_yearly","single_component",1,12446.8686384577,12452.3189479001,-6243.13396281491,0.454848491195426,0.0053475935828877,10.9583239555359,TRUE,52,-1437.95863996801,FALSE,1
"none_quadratic","single_component",2,12471.7196096655,12473.491322066,-6263.45130877206,0.454401190894584,0.00570409982174688,8.22883081436157,TRUE,53,-1459.13101413392,FALSE,2
"none_linear","single_component",1,12573.0048931213,12574.3462451079,-6300.87624396862,0.45292423823462,0.00588235294117647,8.09584593772888,TRUE,54,-1559.98593717581,FALSE,1
"none_monthly","single_component",2,12574.6402890312,12576.2124407939,-6292.65710822722,0.452841690583519,0.00588235294117647,10.9899702072144,TRUE,55,-1561.85213286183,FALSE,2
"none_cyclic","single_component",2,12576.9975414362,12579.5375376232,-6305.54162852099,0.452842542772164,0.00588235294117647,8.23167991638184,TRUE,56,-1565.1772296911,FALSE,2
